Jahr;Monat;Kalenderwoche;Startdatum Woche;Tag-Nr.;Wochentag;Sterbedatum;Anzahl Männer 0-64;Anzahl Männer 65+;Anzahl Frauen 0-64;Anzahl Frauen 65+;Anzahl Gestorbene total
2019;7;27;2019-07-01;188;So;2019-07-07;0;2;0;1;3
2017;3;11;2017-03-13;76;Fr;2017-03-17;0;2;0;4;6
2011;1;3;2011-01-17;17;Mo;2011-01-17;0;4;0;1;5
2020;4;15;2020-04-06;99;Mi;2020-04-08;0;5;1;3;9
2016;4;15;2016-04-11;104;Mi;2016-04-13;0;4;0;1;5
2008;5;22;2008-05-26;149;Mi;2008-05-28;0;4;0;2;6
2014;1;3;2014-01-13;18;Sa;2014-01-18;2;3;1;5;11
2015;3;11;2015-03-09;74;So;2015-03-15;0;5;0;4;9
2005;1;4;2005-01-24;26;Mi;2005-01-26;1;1;1;4;7
2015;5;20;2015-05-11;131;Mo;2015-05-11;0;2;0;2;4
2012;10;42;2012-10-15;289;Mo;2012-10-15;0;3;0;1;4
2007;5;20;2007-05-14;138;Fr;2007-05-18;1;2;0;1;4
2010;9;37;2010-09-13;260;Fr;2010-09-17;0;5;1;5;11
2015;2;8;2015-02-16;48;Di;2015-02-17;0;3;0;4;7
2019;8;33;2019-08-12;226;Mi;2019-08-14;1;3;0;3;7
2011;7;30;2011-07-25;207;Di;2011-07-26;2;3;1;5;11
2011;9;37;2011-09-12;260;Sa;2011-09-17;1;0;0;0;1
2020;7;28;2020-07-06;194;So;2020-07-12;0;0;0;4;4
2010;4;13;2010-03-29;94;So;2010-04-04;3;0;0;1;4
2005;4;16;2005-04-18;109;Di;2005-04-19;0;2;0;4;6
2005;3;11;2005-03-14;79;So;2005-03-20;0;0;1;0;1
2007;5;18;2007-04-30;126;So;2007-05-06;1;1;0;2;4
2015;12;50;2015-12-07;347;So;2015-12-13;1;2;0;4;7
2007;2;7;2007-02-12;43;Mo;2007-02-12;0;4;2;1;7
2018;11;46;2018-11-12;322;So;2018-11-18;1;2;0;1;4
2014;5;22;2014-05-26;151;Sa;2014-05-31;1;3;1;2;7
2015;9;39;2015-09-21;264;Mo;2015-09-21;0;1;1;3;5
2005;1;2;2005-01-10;14;Fr;2005-01-14;1;4;0;2;7
2008;10;41;2008-10-06;282;Mi;2008-10-08;0;2;0;1;3
2011;10;41;2011-10-10;283;Mo;2011-10-10;0;4;1;6;11
2012;12;49;2012-12-03;339;Di;2012-12-04;0;1;0;9;10
2006;12;51;2006-12-18;355;Do;2006-12-21;0;3;0;4;7
2011;2;6;2011-02-07;43;Sa;2011-02-12;0;0;0;3;3
2008;6;26;2008-06-23;175;Mo;2008-06-23;1;3;1;4;9
2019;10;42;2019-10-14;288;Di;2019-10-15;0;4;0;2;6
2009;9;40;2009-09-28;273;Mi;2009-09-30;1;1;0;4;6
2007;2;6;2007-02-05;36;Mo;2007-02-05;0;3;0;4;7
2017;8;31;2017-07-31;216;Fr;2017-08-04;0;3;0;2;5
2010;1;3;2010-01-18;18;Mo;2010-01-18;0;3;1;8;12
2013;7;27;2013-07-01;185;Do;2013-07-04;0;3;0;2;5
2013;4;15;2013-04-08;102;Fr;2013-04-12;0;3;0;5;8
2015;9;38;2015-09-14;257;Mo;2015-09-14;0;5;0;3;8
2019;3;9;2019-02-25;60;Fr;2019-03-01;0;4;0;1;5
2007;7;29;2007-07-16;202;Sa;2007-07-21;0;3;0;2;5
2008;4;14;2008-03-31;92;Di;2008-04-01;0;2;0;2;4
2016;8;35;2016-08-29;244;Mi;2016-08-31;0;1;0;0;1
2013;1;3;2013-01-14;19;Sa;2013-01-19;0;0;0;6;6
2007;4;17;2007-04-23;119;So;2007-04-29;0;3;0;2;5
2020;9;37;2020-09-07;251;Mo;2020-09-07;1;1;0;3;5
2006;9;36;2006-09-04;248;Di;2006-09-05;1;0;0;1;2
2018;7;26;2018-06-25;182;So;2018-07-01;0;1;1;4;6
2014;10;42;2014-10-13;291;Sa;2014-10-18;0;3;0;4;7
2011;3;10;2011-03-07;67;Di;2011-03-08;2;2;0;5;9
2015;10;42;2015-10-12;290;Sa;2015-10-17;0;3;0;3;6
2008;11;45;2008-11-03;308;Mo;2008-11-03;0;3;0;0;3
2017;9;38;2017-09-18;266;Sa;2017-09-23;0;4;0;5;9
2017;12;50;2017-12-11;349;Fr;2017-12-15;0;3;0;0;3
2012;12;52;2012-12-24;365;So;2012-12-30;1;3;0;2;6
2015;5;19;2015-05-04;124;Mo;2015-05-04;0;3;0;0;3
2020;10;40;2020-09-28;275;Do;2020-10-01;0;0;2;3;5
2018;1;1;2018-01-01;6;Sa;2018-01-06;1;0;1;1;3
2007;11;45;2007-11-05;311;Mi;2007-11-07;1;1;0;1;3
2006;9;37;2006-09-11;255;Di;2006-09-12;0;4;0;1;5
2017;2;5;2017-01-30;33;Do;2017-02-02;0;2;0;4;6
2018;3;13;2018-03-26;89;Fr;2018-03-30;2;2;0;1;5
2021;1;4;2021-01-25;31;So;2021-01-31;0;1;0;7;8
2012;4;16;2012-04-16;113;So;2012-04-22;0;4;0;1;5
2016;3;9;2016-02-29;61;Di;2016-03-01;0;2;0;3;5
2013;3;13;2013-03-25;85;Di;2013-03-26;0;4;0;4;8
2012;1;5;2012-01-30;30;Mo;2012-01-30;0;0;0;4;4
2005;6;25;2005-06-20;175;Fr;2005-06-24;1;3;0;6;10
2011;7;29;2011-07-18;202;Do;2011-07-21;1;2;0;4;7
2016;5;21;2016-05-23;144;Mo;2016-05-23;1;0;0;3;4
2012;12;49;2012-12-03;341;Do;2012-12-06;0;2;0;1;3
2014;2;9;2014-02-24;58;Do;2014-02-27;1;2;0;2;5
2020;2;9;2020-02-24;59;Fr;2020-02-28;0;2;1;6;9
2015;6;25;2015-06-15;171;Sa;2015-06-20;0;1;0;0;1
2005;3;10;2005-03-07;66;Mo;2005-03-07;1;2;0;8;11
2020;5;21;2020-05-18;142;Do;2020-05-21;0;3;0;1;4
2015;3;13;2015-03-23;88;So;2015-03-29;0;1;0;6;7
2012;9;35;2012-08-27;246;So;2012-09-02;0;2;0;6;8
2019;4;17;2019-04-22;112;Mo;2019-04-22;1;2;0;1;4
2014;10;40;2014-09-29;274;Mi;2014-10-01;0;3;0;9;12
2009;7;30;2009-07-20;206;Sa;2009-07-25;0;3;0;2;5
2005;10;40;2005-10-03;282;So;2005-10-09;0;1;1;4;6
2012;3;12;2012-03-19;80;Di;2012-03-20;0;2;0;3;5
2014;7;28;2014-07-07;191;Do;2014-07-10;0;0;0;5;5
2011;6;22;2011-05-30;152;Mi;2011-06-01;0;3;0;2;5
2011;8;34;2011-08-22;235;Di;2011-08-23;1;0;0;0;1
2007;6;25;2007-06-18;171;Mi;2007-06-20;0;3;0;2;5
2010;3;10;2010-03-08;70;Do;2010-03-11;0;3;1;3;7
2012;10;43;2012-10-22;296;Mo;2012-10-22;0;4;1;6;11
2016;12;49;2016-12-05;346;So;2016-12-11;0;1;1;3;5
2007;9;37;2007-09-10;254;Di;2007-09-11;0;2;0;2;4
2013;6;23;2013-06-03;154;Mo;2013-06-03;0;3;0;0;3
2005;9;37;2005-09-12;256;Di;2005-09-13;0;2;0;2;4
2020;2;5;2020-01-27;33;So;2020-02-02;0;3;0;2;5
2017;6;25;2017-06-19;173;Do;2017-06-22;0;1;0;5;6
2015;10;43;2015-10-19;297;Sa;2015-10-24;0;2;0;0;2
2013;5;21;2013-05-20;142;Mi;2013-05-22;0;3;1;2;6
2013;2;9;2013-02-25;59;Do;2013-02-28;0;4;0;5;9
2015;8;31;2015-07-27;214;So;2015-08-02;0;1;0;0;1
2014;4;17;2014-04-21;115;Fr;2014-04-25;0;1;1;3;5
2009;3;11;2009-03-09;73;Sa;2009-03-14;0;2;0;4;6
2015;1;5;2015-01-26;31;Sa;2015-01-31;1;2;0;7;10
2012;7;27;2012-07-02;189;Sa;2012-07-07;2;2;0;1;5
2013;12;50;2013-12-09;344;Di;2013-12-10;0;3;1;1;5
2010;4;14;2010-04-05;96;Di;2010-04-06;0;2;0;6;8
