Jahr;Monat;Kalenderwoche;Startdatum Woche;Tag-Nr.;Wochentag;Sterbedatum;Anzahl Männer 0-64;Anzahl Männer 65+;Anzahl Frauen 0-64;Anzahl Frauen 65+;Anzahl Gestorbene total
2010;12;51;2010-12-20;357;Do;2010-12-23;1;2;0;3;6
2015;12;50;2015-12-07;342;Di;2015-12-08;0;1;0;3;4
2019;2;8;2019-02-18;55;So;2019-02-24;1;0;1;2;4
2007;2;8;2007-02-19;50;Mo;2007-02-19;2;2;0;3;7
2009;7;28;2009-07-06;192;Sa;2009-07-11;1;0;0;4;5
2008;2;6;2008-02-04;37;Mi;2008-02-06;1;4;0;0;5
2017;10;42;2017-10-16;294;Sa;2017-10-21;1;1;0;4;6
2015;6;26;2015-06-22;176;Do;2015-06-25;0;3;1;0;4
2013;1;4;2013-01-21;21;Mo;2013-01-21;0;2;0;1;3
2005;4;16;2005-04-18;111;Do;2005-04-21;1;3;1;3;8
2006;1;4;2006-01-23;27;Fr;2006-01-27;2;2;0;4;8
2005;1;4;2005-01-24;28;Fr;2005-01-28;0;1;0;4;5
2011;4;14;2011-04-04;95;Di;2011-04-05;2;4;0;4;10
2007;12;50;2007-12-10;349;Sa;2007-12-15;1;2;0;4;7
2005;7;28;2005-07-11;194;Mi;2005-07-13;0;1;0;0;1
2020;11;44;2020-10-26;306;So;2020-11-01;0;2;0;0;2
2016;3;11;2016-03-14;80;So;2016-03-20;0;3;1;4;8
2008;6;25;2008-06-16;170;Mi;2008-06-18;0;5;1;3;9
2020;3;12;2020-03-16;78;Mi;2020-03-18;1;5;0;3;9
2007;1;5;2007-01-29;31;Mi;2007-01-31;1;2;0;1;4
2012;1;2;2012-01-09;11;Mi;2012-01-11;1;1;0;4;6
2015;12;49;2015-11-30;335;Di;2015-12-01;1;1;0;3;5
2007;12;49;2007-12-03;342;Sa;2007-12-08;0;1;1;1;3
2015;9;37;2015-09-07;252;Mi;2015-09-09;0;1;1;1;3
2019;9;38;2019-09-16;259;Mo;2019-09-16;0;1;0;5;6
2018;7;29;2018-07-16;203;So;2018-07-22;0;1;0;2;3
2011;9;36;2011-09-05;254;So;2011-09-11;0;6;0;6;12
2008;3;13;2008-03-24;87;Do;2008-03-27;0;3;1;1;5
2009;5;21;2009-05-18;142;Fr;2009-05-22;0;2;0;2;4
2006;2;9;2006-02-27;58;Mo;2006-02-27;0;1;2;3;6
2007;4;17;2007-04-23;114;Di;2007-04-24;0;0;1;3;4
2017;8;33;2017-08-14;230;Fr;2017-08-18;0;2;0;3;5
2016;6;25;2016-06-20;175;Do;2016-06-23;2;0;2;5;9
2016;9;37;2016-09-12;258;Mi;2016-09-14;0;4;0;5;9
2017;11;45;2017-11-06;313;Do;2017-11-09;2;3;0;1;6
2012;8;33;2012-08-13;227;Di;2012-08-14;0;2;0;2;4
2017;1;1;2017-01-02;2;Mo;2017-01-02;1;3;1;7;12
2012;5;21;2012-05-21;144;Mi;2012-05-23;2;1;0;4;7
2016;1;4;2016-01-25;30;Sa;2016-01-30;0;2;1;2;5
2014;6;25;2014-06-16;172;Sa;2014-06-21;1;2;1;3;7
2013;6;25;2013-06-17;173;Sa;2013-06-22;0;1;0;3;4
2008;8;32;2008-08-04;220;Do;2008-08-07;0;4;1;3;8
2013;3;13;2013-03-25;90;So;2013-03-31;0;4;0;3;7
2008;10;44;2008-10-27;303;Mi;2008-10-29;0;2;0;2;4
2005;6;26;2005-06-27;180;Mi;2005-06-29;0;1;0;4;5
2014;3;13;2014-03-24;89;So;2014-03-30;0;2;0;3;5
2010;9;35;2010-08-30;248;So;2010-09-05;0;2;0;4;6
2005;12;50;2005-12-12;346;Mo;2005-12-12;1;3;0;2;6
2015;7;30;2015-07-20;202;Di;2015-07-21;0;1;1;4;6
2012;12;52;2012-12-24;360;Di;2012-12-25;0;5;0;1;6
2010;11;47;2010-11-22;331;Sa;2010-11-27;0;2;0;3;5
2005;11;45;2005-11-07;316;Sa;2005-11-12;1;0;0;0;1
2015;4;18;2015-04-27;119;Mi;2015-04-29;0;5;0;4;9
2007;3;10;2007-03-05;64;Mo;2007-03-05;0;1;0;3;4
2016;5;18;2016-05-02;125;Mi;2016-05-04;1;3;0;2;6
2019;3;12;2019-03-18;81;Fr;2019-03-22;0;5;0;1;6
2011;12;52;2011-12-26;361;Di;2011-12-27;0;1;0;2;3
2006;3;12;2006-03-20;84;Sa;2006-03-25;0;1;0;1;2
2012;7;28;2012-07-09;194;Do;2012-07-12;0;1;0;1;2
2017;5;20;2017-05-15;135;Mo;2017-05-15;0;4;0;2;6
2015;10;41;2015-10-05;278;Mo;2015-10-05;0;2;1;2;5
2005;5;19;2005-05-09;130;Di;2005-05-10;3;2;1;1;7
2010;9;38;2010-09-20;267;Fr;2010-09-24;0;1;0;3;4
2008;7;29;2008-07-14;196;Mo;2008-07-14;0;5;0;3;8
2017;7;29;2017-07-17;204;So;2017-07-23;0;3;0;1;4
2013;2;6;2013-02-04;40;Sa;2013-02-09;0;5;0;3;8
2016;8;33;2016-08-15;232;Fr;2016-08-19;1;3;0;6;10
2012;6;25;2012-06-18;170;Mo;2012-06-18;0;2;0;3;5
2019;8;31;2019-07-29;214;Fr;2019-08-02;1;0;2;3;6
2018;6;23;2018-06-04;158;Do;2018-06-07;0;1;0;5;6
2006;4;15;2006-04-10;103;Do;2006-04-13;0;2;1;6;9
2008;11;48;2008-11-24;329;Mo;2008-11-24;0;3;0;3;6
2020;11;45;2020-11-02;313;So;2020-11-08;0;2;0;6;8
2015;8;33;2015-08-10;228;So;2015-08-16;1;2;0;2;5
2009;6;24;2009-06-08;161;Mi;2009-06-10;0;0;0;5;5
2013;8;33;2013-08-12;230;So;2013-08-18;1;2;1;3;7
2018;9;37;2018-09-10;253;Mo;2018-09-10;0;0;1;2;3
2016;4;14;2016-04-04;99;Fr;2016-04-08;0;4;0;4;8
2011;12;51;2011-12-19;357;Fr;2011-12-23;0;1;0;0;1
2020;4;15;2020-04-06;97;Mo;2020-04-06;0;3;1;2;6
2018;12;48;2018-11-26;336;So;2018-12-02;0;1;1;3;5
2018;11;44;2018-10-29;306;Fr;2018-11-02;0;0;0;1;1
2017;12;48;2017-11-27;337;So;2017-12-03;1;1;2;2;6
2018;1;4;2018-01-22;25;Do;2018-01-25;0;3;0;2;5
2012;8;32;2012-08-06;220;Di;2012-08-07;0;1;0;0;1
2009;3;10;2009-03-02;66;Sa;2009-03-07;2;5;0;1;8
2011;8;32;2011-08-08;221;Di;2011-08-09;0;3;0;2;5
2019;4;16;2019-04-15;107;Mi;2019-04-17;1;6;0;7;14
2009;10;43;2009-10-19;294;Mi;2009-10-21;0;3;0;2;5
2015;12;52;2015-12-21;361;So;2015-12-27;0;3;1;5;9
2021;1;3;2021-01-18;24;So;2021-01-24;2;4;0;4;10
2021;1;2;2021-01-11;16;Sa;2021-01-16;1;4;0;4;9
2014;11;46;2014-11-10;319;Sa;2014-11-15;0;1;0;5;6
2005;4;16;2005-04-18;113;Sa;2005-04-23;1;2;0;2;5
2012;10;40;2012-10-01;279;Fr;2012-10-05;2;3;0;2;7
2006;11;47;2006-11-20;326;Mi;2006-11-22;0;2;1;3;6
2019;8;31;2019-07-29;216;So;2019-08-04;0;1;0;2;3
2015;10;43;2015-10-19;292;Mo;2015-10-19;1;5;2;2;10
2017;7;27;2017-07-03;187;Do;2017-07-06;1;1;0;4;6
2015;2;8;2015-02-16;52;Sa;2015-02-21;0;2;0;7;9
2005;12;51;2005-12-19;353;Mo;2005-12-19;0;1;0;1;2
2017;9;39;2017-09-25;270;Mi;2017-09-27;0;4;0;3;7
2008;12;51;2008-12-15;355;Sa;2008-12-20;0;2;0;5;7
2011;7;30;2011-07-25;211;Sa;2011-07-30;0;2;1;1;4
2010;6;22;2010-05-31;155;Fr;2010-06-04;0;1;0;4;5
2013;8;35;2013-08-26;239;Di;2013-08-27;0;2;0;0;2
2011;2;7;2011-02-14;45;Mo;2011-02-14;0;1;0;2;3
2007;10;43;2007-10-22;299;Fr;2007-10-26;2;3;2;2;9
2019;3;12;2019-03-18;83;So;2019-03-24;1;2;0;2;5
2018;1;4;2018-01-22;27;Sa;2018-01-27;1;2;0;1;4
2012;1;3;2012-01-16;18;Mi;2012-01-18;0;2;1;3;6
2012;11;47;2012-11-19;329;Sa;2012-11-24;1;4;1;1;7
2009;5;21;2009-05-18;144;So;2009-05-24;1;2;0;3;6
2019;9;39;2019-09-23;266;Mo;2019-09-23;0;2;0;6;8
2018;12;50;2018-12-10;350;So;2018-12-16;0;3;0;0;3
2016;3;12;2016-03-21;82;Di;2016-03-22;0;2;0;1;3
2013;12;52;2013-12-23;358;Di;2013-12-24;0;3;0;1;4
2015;6;24;2015-06-08;159;Mo;2015-06-08;0;3;0;0;3
2007;6;24;2007-06-11;166;Fr;2007-06-15;1;0;0;3;4
2020;1;2;2020-01-06;6;Mo;2020-01-06;0;2;1;1;4
2009;12;52;2009-12-21;360;Sa;2009-12-26;0;1;1;1;3
2009;2;8;2009-02-16;49;Mi;2009-02-18;1;2;0;4;7
2006;5;18;2006-05-01;124;Do;2006-05-04;2;0;0;2;4
2008;9;36;2008-09-01;248;Do;2008-09-04;3;2;0;3;8
2011;3;11;2011-03-14;78;Sa;2011-03-19;0;2;1;3;6
2015;11;46;2015-11-09;318;Sa;2015-11-14;0;1;2;2;5
2008;6;22;2008-05-26;153;So;2008-06-01;0;1;0;3;4
2019;6;23;2019-06-03;159;Sa;2019-06-08;0;5;0;3;8
2015;8;34;2015-08-17;235;So;2015-08-23;0;3;0;5;8
2013;3;12;2013-03-18;80;Do;2013-03-21;0;2;0;3;5
2009;9;37;2009-09-07;251;Di;2009-09-08;0;1;1;3;5
2010;11;44;2010-11-01;307;Mi;2010-11-03;0;1;0;2;3
2005;6;24;2005-06-13;170;So;2005-06-19;2;3;0;2;7
2017;9;35;2017-08-28;244;Fr;2017-09-01;1;1;0;4;6
2016;7;27;2016-07-04;189;Do;2016-07-07;0;0;0;1;1
2018;7;27;2018-07-02;186;Do;2018-07-05;0;1;0;3;4
2008;3;11;2008-03-10;70;Mo;2008-03-10;0;3;0;2;5
2017;9;37;2017-09-11;256;Mi;2017-09-13;1;0;0;1;2
2005;1;1;2005-01-03;4;Di;2005-01-04;1;1;0;5;7
2015;12;49;2015-11-30;338;Fr;2015-12-04;1;0;0;0;1
2017;1;4;2017-01-23;28;Sa;2017-01-28;1;2;0;2;5
2014;9;39;2014-09-22;269;Fr;2014-09-26;2;1;1;2;6
2019;7;30;2019-07-22;209;So;2019-07-28;0;4;0;2;6
2009;7;30;2009-07-20;201;Mo;2009-07-20;1;1;0;2;4
2017;2;8;2017-02-20;54;Do;2017-02-23;0;6;0;3;9
2016;2;8;2016-02-22;56;Do;2016-02-25;0;2;0;1;3
2020;10;41;2020-10-05;279;Mo;2020-10-05;1;2;0;6;9
2014;7;27;2014-06-30;186;Sa;2014-07-05;1;0;0;1;2
2016;5;20;2016-05-16;139;Mi;2016-05-18;0;4;0;2;6
2009;2;6;2009-02-02;35;Mi;2009-02-04;0;2;0;7;9
2017;5;20;2017-05-15;137;Mi;2017-05-17;0;1;0;4;5
2015;4;15;2015-04-06;102;So;2015-04-12;1;3;0;4;8
2021;2;7;2021-02-15;49;Do;2021-02-18;0;1;0;5;6
2015;1;4;2015-01-19;19;Mo;2015-01-19;0;2;0;5;7
2013;9;37;2013-09-09;258;So;2013-09-15;0;2;0;7;9
2012;9;37;2012-09-10;260;So;2012-09-16;0;0;1;2;3
2011;6;26;2011-06-27;178;Mo;2011-06-27;0;0;1;3;4
2011;9;37;2011-09-12;261;So;2011-09-18;1;3;0;3;7
2012;4;14;2012-04-02;94;Di;2012-04-03;1;0;0;2;3
2016;8;33;2016-08-15;234;So;2016-08-21;0;2;0;3;5
2020;8;33;2020-08-10;229;So;2020-08-16;0;2;0;0;2
2020;5;22;2020-05-25;146;Mo;2020-05-25;1;1;1;2;5
2015;6;26;2015-06-22;178;Sa;2015-06-27;1;2;2;1;6
2009;11;45;2009-11-02;308;Mi;2009-11-04;0;0;0;2;2
2007;2;6;2007-02-05;40;Fr;2007-02-09;1;0;0;4;5
2006;10;42;2006-10-16;295;So;2006-10-22;0;0;0;6;6
2011;4;14;2011-04-04;97;Do;2011-04-07;1;4;0;4;9
2007;12;51;2007-12-17;351;Mo;2007-12-17;0;3;0;5;8
2011;1;2;2011-01-10;14;Fr;2011-01-14;0;3;2;2;7
2013;12;1;2013-12-30;365;Di;2013-12-31;3;3;0;5;11
2006;4;17;2006-04-24;117;Do;2006-04-27;1;3;1;4;9
2007;6;25;2007-06-18;173;Fr;2007-06-22;1;1;0;0;2
2013;10;41;2013-10-07;282;Mi;2013-10-09;0;2;0;0;2
2015;3;13;2015-03-23;83;Di;2015-03-24;0;3;1;2;6
2014;12;49;2014-12-01;338;Do;2014-12-04;0;2;2;3;7
2007;9;37;2007-09-10;256;Do;2007-09-13;1;5;0;2;8
2013;1;3;2013-01-14;16;Mi;2013-01-16;1;1;0;3;5
2009;9;38;2009-09-14;258;Di;2009-09-15;0;5;0;1;6
2017;4;16;2017-04-17;111;Fr;2017-04-21;0;3;0;2;5
2011;12;49;2011-12-05;340;Di;2011-12-06;1;0;0;0;1
2005;7;27;2005-07-04;189;Fr;2005-07-08;0;1;0;2;3
2021;2;5;2021-02-01;35;Do;2021-02-04;2;2;0;2;6
2009;6;26;2009-06-22;175;Mi;2009-06-24;0;1;1;2;4
2005;1;2;2005-01-10;11;Di;2005-01-11;0;1;0;3;4
2011;7;29;2011-07-18;204;Sa;2011-07-23;0;0;1;2;3
2019;9;36;2019-09-02;247;Mi;2019-09-04;0;1;1;0;2
2017;10;42;2017-10-16;289;Mo;2017-10-16;0;1;0;3;4
2008;10;40;2008-09-29;279;So;2008-10-05;2;0;0;4;6
2006;9;36;2006-09-04;250;Do;2006-09-07;1;4;1;5;11
2019;9;40;2019-09-30;273;Mo;2019-09-30;0;1;1;1;3
2012;4;16;2012-04-16;108;Di;2012-04-17;1;1;1;4;7
2011;2;8;2011-02-21;52;Mo;2011-02-21;0;3;0;4;7
2017;5;19;2017-05-08;130;Mi;2017-05-10;2;4;0;2;8
2006;12;51;2006-12-18;352;Mo;2006-12-18;2;1;0;6;9
2009;5;19;2009-05-04;125;Di;2009-05-05;2;0;0;2;4
2005;10;42;2005-10-17;296;So;2005-10-23;0;4;0;6;10
2016;3;11;2016-03-14;75;Di;2016-03-15;1;2;0;2;5
2007;4;17;2007-04-23;116;Do;2007-04-26;0;2;0;2;4
2016;6;23;2016-06-06;158;Mo;2016-06-06;0;2;1;4;7
2019;2;9;2019-02-25;57;Di;2019-02-26;0;1;1;4;6
2015;12;49;2015-11-30;337;Do;2015-12-03;0;2;0;3;5
2020;3;11;2020-03-09;70;Di;2020-03-10;0;2;0;1;3
2007;7;29;2007-07-16;199;Mi;2007-07-18;1;4;0;2;7
2018;3;12;2018-03-19;84;So;2018-03-25;0;3;1;3;7
2010;11;45;2010-11-08;314;Mi;2010-11-10;0;4;0;5;9
2012;6;23;2012-06-04;158;Mi;2012-06-06;0;3;1;2;6
2008;1;1;2007-12-31;6;So;2008-01-06;0;1;1;3;5
2012;3;11;2012-03-12;75;Do;2012-03-15;0;3;0;7;10
2007;3;13;2007-03-26;90;Sa;2007-03-31;0;3;1;2;6
2010;5;21;2010-05-24;148;Fr;2010-05-28;0;5;1;4;10
2011;8;33;2011-08-15;230;Do;2011-08-18;0;3;0;4;7
2006;3;10;2006-03-06;67;Mi;2006-03-08;0;1;0;3;4
2007;8;32;2007-08-06;223;Sa;2007-08-11;0;1;0;3;4
2017;9;38;2017-09-18;263;Mi;2017-09-20;0;2;0;4;6
2008;10;44;2008-10-27;305;Fr;2008-10-31;0;3;2;4;9
2014;7;30;2014-07-21;205;Do;2014-07-24;1;4;0;4;9
2013;7;30;2013-07-22;206;Do;2013-07-25;0;1;0;2;3
2018;2;5;2018-01-29;34;Sa;2018-02-03;0;0;0;4;4
2007;11;44;2007-10-29;308;So;2007-11-04;0;3;1;6;10
2008;2;8;2008-02-18;53;Fr;2008-02-22;0;2;0;5;7
2007;8;33;2007-08-13;225;Mo;2007-08-13;1;1;0;1;3
2015;5;20;2015-05-11;135;Fr;2015-05-15;2;1;0;1;4
2010;3;12;2010-03-22;81;Mo;2010-03-22;0;1;0;2;3
2007;3;12;2007-03-19;80;Mi;2007-03-21;1;0;0;2;3
2019;5;21;2019-05-20;142;Mi;2019-05-22;0;3;0;6;9
2006;12;48;2006-11-27;335;Fr;2006-12-01;0;1;0;1;2
2006;9;36;2006-09-04;252;Sa;2006-09-09;0;2;0;7;9
2010;11;44;2010-11-01;309;Fr;2010-11-05;1;2;0;2;5
2009;9;37;2009-09-07;253;Do;2009-09-10;1;3;0;2;6
2008;7;29;2008-07-14;198;Mi;2008-07-16;0;2;1;4;7
2006;3;11;2006-03-13;74;Mi;2006-03-15;2;4;0;1;7
2007;5;19;2007-05-07;130;Do;2007-05-10;0;1;1;2;4
2007;5;21;2007-05-21;142;Di;2007-05-22;0;2;0;5;7
2015;12;51;2015-12-14;351;Do;2015-12-17;0;0;0;4;4
2016;7;30;2016-07-25;207;Mo;2016-07-25;0;0;0;1;1
2008;4;15;2008-04-07;103;Sa;2008-04-12;0;2;0;7;9
2011;9;37;2011-09-12;256;Di;2011-09-13;0;3;0;2;5
2005;3;9;2005-02-28;63;Fr;2005-03-04;0;4;0;2;6
2007;6;25;2007-06-18;175;So;2007-06-24;0;2;1;3;6
2019;7;28;2019-07-08;192;Do;2019-07-11;0;2;0;4;6
2010;5;19;2010-05-10;131;Di;2010-05-11;1;2;0;2;5
2011;9;35;2011-08-29;244;Do;2011-09-01;1;1;2;2;6
2019;10;40;2019-09-30;275;Mi;2019-10-02;0;1;1;3;5
2018;10;40;2018-10-01;276;Mi;2018-10-03;0;2;1;5;8
2015;1;1;2014-12-29;2;Fr;2015-01-02;0;0;0;1;1
2012;6;23;2012-06-04;160;Fr;2012-06-08;1;0;0;4;5
2016;6;24;2016-06-13;165;Mo;2016-06-13;0;2;1;3;6
2009;7;30;2009-07-20;203;Mi;2009-07-22;0;0;0;1;1
2013;9;39;2013-09-23;272;So;2013-09-29;1;2;0;1;4
2008;8;34;2008-08-18;236;Sa;2008-08-23;0;2;1;3;6
2014;7;28;2014-07-07;188;Mo;2014-07-07;3;2;0;4;9
2007;4;14;2007-04-02;92;Mo;2007-04-02;1;2;1;1;5
2015;10;44;2015-10-26;301;Mi;2015-10-28;1;0;0;2;3
2014;4;16;2014-04-14;105;Di;2014-04-15;0;3;1;0;4
2006;11;44;2006-10-30;309;So;2006-11-05;0;3;1;2;6
2011;11;46;2011-11-14;320;Mi;2011-11-16;0;6;1;3;10
2017;1;1;2017-01-02;4;Mi;2017-01-04;0;2;0;4;6
2020;11;48;2020-11-23;329;Di;2020-11-24;0;3;0;5;8
2017;3;13;2017-03-27;87;Di;2017-03-28;0;3;0;3;6
2010;5;20;2010-05-17;138;Di;2010-05-18;1;5;0;5;11
2016;2;5;2016-02-01;32;Mo;2016-02-01;0;2;0;1;3
2019;1;3;2019-01-14;14;Mo;2019-01-14;0;3;1;3;7
2007;6;23;2007-06-04;156;Di;2007-06-05;0;1;0;2;3
2015;3;10;2015-03-02;66;Sa;2015-03-07;0;3;0;4;7
2019;11;47;2019-11-18;325;Do;2019-11-21;0;3;0;4;7
2014;12;50;2014-12-08;348;So;2014-12-14;0;1;0;0;1
2008;5;19;2008-05-05;129;Do;2008-05-08;0;0;0;3;3
2010;10;40;2010-10-04;283;So;2010-10-10;0;1;1;1;3
2015;10;43;2015-10-19;294;Mi;2015-10-21;0;3;0;1;4
2019;4;14;2019-04-01;97;So;2019-04-07;0;3;0;1;4
2009;8;33;2009-08-10;227;Sa;2009-08-15;0;2;1;2;5
2019;6;26;2019-06-24;180;Sa;2019-06-29;0;1;0;6;7
2013;4;17;2013-04-22;113;Di;2013-04-23;0;6;0;0;6
2006;7;29;2006-07-17;202;Fr;2006-07-21;0;1;1;6;8
2005;7;29;2005-07-18;203;Fr;2005-07-22;0;1;0;4;5
2009;2;7;2009-02-09;44;Fr;2009-02-13;0;0;0;4;4
2016;10;42;2016-10-17;293;Mi;2016-10-19;0;1;0;1;2
2017;8;32;2017-08-07;220;Di;2017-08-08;1;6;0;0;7
2007;12;52;2007-12-24;358;Mo;2007-12-24;0;2;1;6;9
2009;9;38;2009-09-14;260;Do;2009-09-17;1;5;0;4;10
2020;8;32;2020-08-03;220;Fr;2020-08-07;0;0;0;4;4
2018;8;32;2018-08-06;219;Di;2018-08-07;0;4;0;3;7
2008;12;50;2008-12-08;345;Mi;2008-12-10;0;2;0;3;5
2017;10;44;2017-10-30;303;Mo;2017-10-30;1;2;1;1;5
2010;4;15;2010-04-12;105;Do;2010-04-15;0;2;0;2;4
2018;10;44;2018-10-29;302;Mo;2018-10-29;0;3;1;3;7
2011;9;38;2011-09-19;263;Di;2011-09-20;0;2;1;0;3
2005;3;10;2005-03-07;70;Fr;2005-03-11;0;0;0;4;4
2012;11;46;2012-11-12;319;Mi;2012-11-14;0;2;0;4;6
2019;9;37;2019-09-09;256;Fr;2019-09-13;0;2;0;1;3
2012;8;34;2012-08-20;236;Do;2012-08-23;0;3;0;2;5
2018;10;41;2018-10-08;283;Mi;2018-10-10;0;1;0;3;4
2017;8;33;2017-08-14;227;Di;2017-08-15;1;1;0;1;3
2011;6;26;2011-06-27;180;Mi;2011-06-29;0;1;0;1;2
2020;6;25;2020-06-15;170;Do;2020-06-18;0;1;0;4;5
2012;6;22;2012-05-28;153;Fr;2012-06-01;0;2;0;3;5
2013;7;30;2013-07-22;208;Sa;2013-07-27;1;2;0;2;5
2014;6;27;2014-06-30;181;Mo;2014-06-30;0;2;1;1;4
2017;8;34;2017-08-21;239;So;2017-08-27;1;1;0;5;7
2010;12;49;2010-12-06;340;Mo;2010-12-06;0;4;0;4;8
2008;3;11;2008-03-10;72;Mi;2008-03-12;3;1;0;5;9
2020;9;37;2020-09-07;253;Mi;2020-09-09;0;0;0;3;3
2016;9;38;2016-09-19;267;Fr;2016-09-23;0;0;0;2;2
2012;2;9;2012-02-27;58;Mo;2012-02-27;1;1;0;5;7
2019;8;32;2019-08-05;223;So;2019-08-11;0;2;0;4;6
2006;9;37;2006-09-11;259;Sa;2006-09-16;0;1;0;5;6
2019;11;44;2019-10-28;306;Sa;2019-11-02;1;1;1;3;6
2014;6;25;2014-06-16;169;Mi;2014-06-18;1;1;1;5;8
2016;2;6;2016-02-08;39;Mo;2016-02-08;0;1;0;3;4
2017;2;6;2017-02-06;37;Mo;2017-02-06;0;5;0;4;9
2007;10;43;2007-10-22;301;So;2007-10-28;0;2;0;2;4
2009;1;3;2009-01-12;18;So;2009-01-18;0;2;0;2;4
2014;11;46;2014-11-10;314;Mo;2014-11-10;1;2;0;3;6
2015;4;17;2015-04-20;116;So;2015-04-26;0;3;0;3;6
2009;8;34;2009-08-17;234;Sa;2009-08-22;1;1;1;4;7
2015;12;50;2015-12-07;344;Do;2015-12-10;1;0;0;4;5
2005;6;25;2005-06-20;177;So;2005-06-26;1;7;0;1;9
2006;4;14;2006-04-03;93;Mo;2006-04-03;0;1;0;3;4
2009;11;46;2009-11-09;317;Fr;2009-11-13;1;4;0;4;9
2020;8;31;2020-07-27;215;So;2020-08-02;0;1;0;2;3
2018;3;9;2018-02-26;60;Do;2018-03-01;0;10;0;7;17
2007;12;1;2007-12-31;365;Mo;2007-12-31;1;2;0;2;5
2019;12;51;2019-12-16;356;So;2019-12-22;0;3;0;5;8
2019;7;29;2019-07-15;199;Do;2019-07-18;0;0;0;3;3
2015;10;40;2015-09-28;275;Fr;2015-10-02;0;3;0;3;6
2014;1;4;2014-01-20;22;Mi;2014-01-22;1;3;2;5;11
2009;10;42;2009-10-12;291;So;2009-10-18;0;1;0;3;4
2011;7;30;2011-07-25;206;Mo;2011-07-25;0;5;0;3;8
2007;10;41;2007-10-08;282;Di;2007-10-09;1;4;0;0;5
2005;12;51;2005-12-19;355;Mi;2005-12-21;0;4;0;5;9
2005;9;39;2005-09-26;272;Do;2005-09-29;0;3;0;1;4
2008;12;49;2008-12-01;338;Mi;2008-12-03;0;2;0;1;3
2012;3;12;2012-03-19;84;Sa;2012-03-24;0;0;0;3;3
2016;8;34;2016-08-22;241;So;2016-08-28;0;6;0;2;8
2014;8;35;2014-08-25;238;Di;2014-08-26;0;1;0;3;4
2009;7;27;2009-06-29;184;Fr;2009-07-03;0;2;1;2;5
2007;2;6;2007-02-05;42;So;2007-02-11;0;3;0;4;7
2020;11;47;2020-11-16;322;Di;2020-11-17;0;1;0;3;4
2018;9;36;2018-09-03;250;Fr;2018-09-07;1;2;0;2;5
2015;5;21;2015-05-18;142;Fr;2015-05-22;0;3;0;1;4
2021;1;1;2021-01-04;9;Sa;2021-01-09;1;4;0;1;6
2018;11;48;2018-11-26;333;Do;2018-11-29;1;3;0;2;6
2010;3;11;2010-03-15;74;Mo;2010-03-15;0;1;0;4;5
2015;2;9;2015-02-23;59;Sa;2015-02-28;0;2;0;2;4
2007;3;10;2007-03-05;66;Mi;2007-03-07;0;3;1;1;5
2016;4;15;2016-04-11;108;So;2016-04-17;0;3;0;2;5
2005;8;32;2005-08-08;222;Mi;2005-08-10;0;0;0;2;2
2009;10;44;2009-10-26;303;Fr;2009-10-30;1;1;0;2;4
2012;8;31;2012-07-30;217;Sa;2012-08-04;0;3;0;7;10
2007;8;34;2007-08-20;232;Mo;2007-08-20;1;2;0;3;6
2012;5;19;2012-05-07;134;So;2012-05-13;1;1;0;2;4
2017;7;27;2017-07-03;189;Sa;2017-07-08;0;4;0;7;11
2010;10;41;2010-10-11;290;So;2010-10-17;0;1;0;2;3
2018;12;50;2018-12-10;345;Di;2018-12-11;0;6;0;3;9
2013;2;8;2013-02-18;49;Mo;2013-02-18;2;1;0;2;5
2020;4;16;2020-04-13;106;Mi;2020-04-15;1;2;0;2;5
2019;2;5;2019-01-28;33;Sa;2019-02-02;1;0;0;4;5
2016;12;51;2016-12-19;357;Do;2016-12-22;1;2;0;1;4
2015;3;10;2015-03-02;61;Mo;2015-03-02;0;3;0;2;5
2009;7;28;2009-07-06;191;Fr;2009-07-10;0;1;0;3;4
2014;12;50;2014-12-08;343;Di;2014-12-09;0;0;0;1;1
2011;5;20;2011-05-16;137;Di;2011-05-17;1;1;1;6;9
2019;8;33;2019-08-12;225;Di;2019-08-13;1;1;0;3;5
2018;6;25;2018-06-18;169;Mo;2018-06-18;0;2;0;2;4
2005;9;37;2005-09-12;255;Mo;2005-09-12;1;2;0;1;4
2017;7;28;2017-07-10;196;Sa;2017-07-15;0;1;0;3;4
2018;9;36;2018-09-03;252;So;2018-09-09;0;3;0;2;5
2017;10;40;2017-10-02;279;Fr;2017-10-06;1;2;1;2;6
2018;1;4;2018-01-22;24;Mi;2018-01-24;1;5;0;3;9
2016;11;44;2016-10-31;307;Mi;2016-11-02;0;4;0;4;8
2007;9;37;2007-09-10;258;Sa;2007-09-15;0;0;0;1;1
2010;2;8;2010-02-22;57;Fr;2010-02-26;0;2;0;4;6
2008;12;49;2008-12-01;340;Fr;2008-12-05;0;1;0;2;3
2005;8;33;2005-08-15;229;Mi;2005-08-17;1;1;0;5;7
2020;1;1;2019-12-30;3;Fr;2020-01-03;1;1;1;5;8
2018;7;29;2018-07-16;202;Sa;2018-07-21;0;1;0;1;2
2014;12;51;2014-12-15;354;Sa;2014-12-20;0;4;0;2;6
2006;2;7;2006-02-13;50;So;2006-02-19;0;2;2;3;7
2006;12;52;2006-12-25;361;Mi;2006-12-27;2;1;0;5;8
2014;9;39;2014-09-22;271;So;2014-09-28;0;3;0;5;8
2015;5;21;2015-05-18;144;So;2015-05-24;2;2;0;6;10
